label,format,number,period,composer,work,performers,time
Berlin Classics,CD,CD BC 1025-2,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Concerto for Two Harpsichords, Two Horns, Strings, and Continuo, Wq. 46","Schornsheim, Alpermann, Akademie für alte Musik of Berlin",22.8,,,,,,,,,,,
Capriccio,CD,CD 10 104,1,"Bach, Carl Philipp Emanuel (German, 1714-88)",Concerto in a for flute and orchestra WQ 166/H431,"Haupt, Haenchen, C. P. E. Bach Chamber Orchestra",24.3,,,,,,,,,,,
Capriccio,CD,CD 10 104,1,"Bach, Carl Philipp Emanuel (German, 1714-88)",Concerto in A for flute and orchestra WQ 168/H438,"Haupt, Haenchen, C. P. E. Bach Chamber Orchestra",20.0,,,,,,,,,,,
Capriccio,CD,CD 10 104,1,"Bach, Carl Philipp Emanuel (German, 1714-88)",Concerto in d for flute and orchestra WQ 22/ H426,"Haupt, Haenchen, C. P. E. Bach Chamber Orchestra",23.7,,,,,,,,,,,
Capriccio,CD,CD 10 135,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Concerto in E-flat for Organ, Strings, Two Horns, and Continuo, Wq 35/H. 446","Münch, Haenchen, C. P. E. Bach Chamber Orchestra",18.1,,,,,,,,,,,
Capriccio,CD,CD 10 135,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Concerto in G for Organ, Strings, and Continuo, Wq 34/H. 444","Münch, Haenchen, C. P. E. Bach Chamber Orchestra",24.3,,,,,,,,,,,
Warner Classics,CD,CD 0825646945542,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Concerto per il Cembalo Solo, Wq. 112",van Asperen,19.7,,,,,,,,,,,
Oiseau-Lyre,CD,CD 440 649-2,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Duets for Keyboards, Four, Wq. 115","Hogwood, Rousset",9.8,,,,,,,,,,,
Channel Classics,CD,CD CCS 0790,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Duetto for Flute and Harpsichord in E, Wq. 84","(Flute,Piano) Hazelzet, Ogg",14.0,,,,,,,,,,,
MDG,CD,CD 301 0365-2,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Duo for CLarinet, Bassoon, and Continuo","Klocker, Hartmann, Normann",4.5,,,,,,,,,,,
Capriccio,CD,CD 10 135,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Fantasia and Fugue in c, Wq 119, No. 7, H. 103",Münch,5.7,,,,,,,,,,,
Telefunken,LP,LP 6.35453,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Fantasia and Fugue in c, Wq 119, No. 7, H. 103",Tachezi,5.9,,,,,,,,,,,
Vivace,CD,CD 8809,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Fantasia I in B-flat, Wq. 61/3",Serkin,5.9,,,,,,,,,,,
Vivace,CD,CD 8809,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Fantasia I in E-flat, Wq. 58/6",Serkin,6.5,,,,,,,,,,,
Vivace,CD,CD 8809,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Fantasia I in F, Wq. 59/5",Serkin,4.4,,,,,,,,,,,
Vivace,CD,CD 8809,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Fantasia II in A, Wq. 58/7",Serkin,5.9,,,,,,,,,,,
Vivace,CD,CD 8809,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Fantasia II in C, Wq. 59/6",Serkin,7.9,,,,,,,,,,,
Vivace,CD,CD 8809,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Fantasia II in c, Wq. 61/6",Serkin,4.8,,,,,,,,,,,
Oiseau-Lyre,LP,LP DSLO 520,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Fantasia in C for Fortepiano, Wq. 59, No. 6, H. 284",Hogwood,7.5,,,,,,,,,,,
Capriccio,CD,CD 10 102,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Fantasia in C for Fortepiano, Wq. 59, No. 6, H. 284",Jaccottet,7.2,,,,,,,,,,,
